institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.044	0.196	0.040	0.331
1	0.050	0.155	0.057	0.326
2	0.038	0.112	0.069	0.262
3	0.031	0.088	0.060	0.218
4	0.047	0.190	0.042	0.336
5	0.048	0.177	0.045	0.327
6	0.051	0.180	0.035	0.313
7	0.059	0.192	0.037	0.346
8	0.074	0.328	0.031	0.500
9	0.079	0.300	0.041	0.492
10	0.086	0.384	0.037	0.577
11	0.067	0.267	0.034	0.419
12	0.026	0.160	0.030	0.233
13	0.033	0.205	0.037	0.298
14	0.061	0.383	0.066	0.553
15	0.061	0.383	0.066	0.553
16	0.061	0.383	0.066	0.553
