institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.052	0.112	0.044	0.062	0.025	0.157	0.132	0.103	0.313	1.000
1	0.080	0.184	0.059	0.081	0.031	0.161	0.105	0.074	0.225	1.000
2	0.085	0.202	0.065	0.084	0.031	0.166	0.105	0.073	0.187	1.000
3	0.098	0.217	0.074	0.083	0.030	0.153	0.096	0.064	0.185	1.000
4	0.100	0.197	0.061	0.074	0.030	0.156	0.088	0.061	0.233	1.000
5	0.109	0.215	0.064	0.080	0.033	0.164	0.084	0.063	0.188	1.000
6	0.098	0.199	0.059	0.073	0.033	0.164	0.098	0.074	0.201	1.000
7	0.084	0.197	0.065	0.079	0.039	0.157	0.100	0.065	0.214	1.000
8	0.071	0.218	0.066	0.068	0.034	0.169	0.089	0.064	0.221	1.000
